word,parola,letterColor,corrAns,congruent,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,text_4.started,text_4.stopped,order,stimolo_3.started,stimolo_3.stopped,respPRA.keys,respPRA.corr,respPRA.rt,respPRA.started,respPRA.stopped,feedback_msg.started,feedback_msg.stopped,stimolo.started,stimolo.stopped,respENG.keys,respENG.corr,respENG.rt,respENG.started,respENG.stopped,text.started,text.stopped,stimolo_2.started,stimolo_2.stopped,respITA.keys,respITA.corr,respITA.rt,respITA.started,respITA.stopped,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,frameRate,
red,rosso,red,left,1,0,0,0,0,,,,,,,,,,,,,,,,,15.573342447001778,None,ENG_ENG,25.90892981900106,None,left,1,1.3607340960006695,25.90892981900106,None,27.30227475600259,None,,,,,,,,,,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
blue,blu,blue,right,1,0,1,1,4,,,,,,,,,,,,,,,,,,,ENG_ENG,28.291609808999056,None,right,1,1.0800685360009084,28.291609808999056,None,29.390642076003132,None,,,,,,,,,,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
green,verde,green,down,1,0,2,2,2,,,,,,,,,,,,,,,,,,,ENG_ENG,30.392556657003297,None,down,1,0.4428634360010619,30.392556657003297,None,30.85721035500319,None,,,,,,,,,,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
blue,blu,red,left,0,0,3,3,5,,,,,,,,,,,,,,,,,,,ENG_ENG,31.859308896004222,None,left,1,0.5880186369977309,31.859308896004222,None,32.467662463001034,None,,,,,,,,,,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
green,verde,blue,right,0,0,4,4,3,,,,,,,,,,,,,,,,,,,ENG_ENG,33.47417542400217,None,right,1,0.4222290100005921,33.47417542400217,None,33.915379185003985,None,,,,,,,,,,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
red,rosso,green,down,0,0,5,5,1,,,,,,,,,,,,,,,,,,,ENG_ENG,34.91471306599851,None,down,1,0.27964311300456757,34.91471306599851,None,35.215052781997656,None,,,,,,,,,,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
red,rosso,green,down,0,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,ENG_ENG,,,,,,,,,,38.052386638002645,None,down,1,0.8426744739990681,38.052386638002645,None,38.90999543300131,None,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
blue,blu,red,left,0,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,ENG_ENG,,,,,,,,,,39.92019079199963,None,left,1,0.3049438590023783,39.92019079199963,None,40.23817377800151,None,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
green,verde,blue,right,0,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,ENG_ENG,,,,,,,,,,41.24563719100115,None,right,1,0.2382390109996777,41.24563719100115,None,41.49454716400214,None,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
blue,blu,blue,right,1,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,ENG_ENG,,,,,,,,,,42.50268933400366,None,right,1,0.4023455880014808,42.50268933400366,None,42.917772136002895,None,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
green,verde,green,down,1,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,ENG_ENG,,,,,,,,,,43.92013811200013,None,down,1,0.35162343999400036,43.92013811200013,None,44.28706371800217,None,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
red,rosso,red,left,1,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,ENG_ENG,,,,,,,,,,45.29431501900399,None,left,1,0.21448612899985164,45.29431501900399,None,45.52430960399943,None,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
blue,blu,blue,right,1,,,,,1,0,1,0,,,,,0,0,0,4,,,,,,,ENG_ENG,,,,,,,,,,,,,,,,,48.33782527600124,None,47.48623220800073,None,right,1,0.8415726189996349,47.48623220800073,None,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
green,verde,green,down,1,,,,,1,0,1,0,,,,,0,1,1,2,,,,,,,ENG_ENG,,,,,,,,,,,,,,,,,49.735081929000444,None,49.34487910000462,None,down,1,0.3778295759984758,49.34487910000462,None,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
blue,blu,red,left,0,,,,,1,0,1,0,,,,,0,2,2,5,,,,,,,ENG_ENG,,,,,,,,,,,,,,,,,51.129190698004095,None,50.744056481998996,None,left,1,0.37464960900251754,50.744056481998996,None,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
red,rosso,red,left,1,,,,,1,0,1,0,,,,,0,3,3,0,,,,,,,ENG_ENG,,,,,,,,,,,,,,,,,52.51989208400482,None,52.13548567899852,None,down,0,0.37317761699523544,52.13548567899852,None,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
red,rosso,green,down,0,,,,,1,0,1,0,,,,,0,4,4,1,,,,,,,ENG_ENG,,,,,,,,,,,,,,,,,54.2615565130036,None,53.52509771100449,None,right,0,0.7212536930019269,53.52509771100449,None,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
green,verde,blue,right,0,,,,,1,0,1,0,,,,,0,5,5,3,,,,,,,ENG_ENG,,,,,,,,,,,,,,,,,55.801702233999094,None,55.269937819000916,None,down,0,0.5193706380014191,55.269937819000916,None,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,m,1,1,2021_Nov_18_2002,stroop,2021.2.3,149.40100728952328,
