word,parola,letterColor,corrAns,congruent,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,text_4.started,text_4.stopped,order,stimolo_3.started,stimolo_3.stopped,respPRA.keys,respPRA.corr,respPRA.rt,respPRA.started,respPRA.stopped,feedback_msg.started,feedback_msg.stopped,stimolo_2.started,stimolo_2.stopped,respITA.keys,respITA.corr,respITA.rt,respITA.started,respITA.stopped,text.started,text.stopped,stimolo.started,stimolo.stopped,respENG.keys,respENG.corr,respENG.rt,respENG.started,respENG.stopped,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,frameRate,
blue,blu,blue,right,1,0,0,0,4,,,,,,,,,,,,,,,,,20.613936488996842,None,ITA_ENG,21.345212200998503,None,down,0,0.4525709769950481,21.345212200998503,None,21.828271897000377,None,,,,,,,,,,,,,,,,,2,001,m,1,1,2021_Nov_18_2009,stroop,2021.2.3,141.89567197895818,
green,verde,blue,right,0,0,1,1,3,,,,,,,,,,,,,,,,,,,ITA_ENG,22.815353860998584,None,down,0,0.25318680600321386,22.815353860998584,None,23.085375096998177,None,,,,,,,,,,,,,,,,,2,001,m,1,1,2021_Nov_18_2009,stroop,2021.2.3,141.89567197895818,
red,rosso,red,left,1,0,2,2,0,,,,,,,,,,,,,,,,,,,ITA_ENG,24.08780732699961,None,right,0,0.23585873100091703,24.08780732699961,None,24.33518401999754,None,,,,,,,,,,,,,,,,,2,001,m,1,1,2021_Nov_18_2009,stroop,2021.2.3,141.89567197895818,
red,rosso,green,down,0,0,3,3,1,,,,,,,,,,,,,,,,,,,ITA_ENG,25.342191802999878,None,left,0,0.24737659400125267,25.342191802999878,None,25.602660683995055,None,,,,,,,,,,,,,,,,,2,001,m,1,1,2021_Nov_18_2009,stroop,2021.2.3,141.89567197895818,
green,verde,green,down,1,0,4,4,2,,,,,,,,,,,,,,,,,,,ITA_ENG,26.61480542899517,None,down,1,0.36902959200233454,26.61480542899517,None,27.003538646997185,None,,,,,,,,,,,,,,,,,2,001,m,1,1,2021_Nov_18_2009,stroop,2021.2.3,141.89567197895818,
blue,blu,red,left,0,0,5,5,5,,,,,,,,,,,,,,,,,,,ITA_ENG,28.001126914998167,None,down,0,0.5813295600019046,28.001126914998167,None,28.599160965997726,None,,,,,,,,,,,,,,,,,2,001,m,1,1,2021_Nov_18_2009,stroop,2021.2.3,141.89567197895818,
green,verde,blue,right,0,,,,,0,0,0,0,,,,,0,0,0,3,,,,,,,ITA_ENG,,,,,,,,,,30.212763203999202,None,down,0,0.4736285510007292,30.212763203999202,None,30.69826634600031,None,,,,,,,,2,001,m,1,1,2021_Nov_18_2009,stroop,2021.2.3,141.89567197895818,
green,verde,green,down,1,,,,,0,0,0,0,,,,,0,1,1,2,,,,,,,ITA_ENG,,,,,,,,,,31.7021249419995,None,down,1,0.19417087100009667,31.7021249419995,None,31.90847296299762,None,,,,,,,,2,001,m,1,1,2021_Nov_18_2009,stroop,2021.2.3,141.89567197895818,
red,rosso,red,left,1,,,,,0,0,0,0,,,,,0,2,2,0,,,,,,,ITA_ENG,,,,,,,,,,32.9131524100012,None,down,0,0.0599887159987702,32.9131524100012,None,32.992002751001564,None,,,,,,,,2,001,m,1,1,2021_Nov_18_2009,stroop,2021.2.3,141.89567197895818,
blue,blu,red,left,0,,,,,0,0,0,0,,,,,0,3,3,5,,,,,,,ITA_ENG,,,,,,,,,,33.99615618399548,None,down,0,0.10906938800326316,33.99615618399548,None,34.11831275100121,None,,,,,,,,2,001,m,1,1,2021_Nov_18_2009,stroop,2021.2.3,141.89567197895818,
