order,respPRA.keys,respPRA.corr,respPRA.rt,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_practice.ran,word,parola,letterColor,corrAns,congruent,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,OS,frameRate,respENG.keys,respENG.corr,respENG.rt,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Eng.ran,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,loop_break.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,respITA.keys,respITA.corr,respITA.rt,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_Ita.ran
ENG_ENG,left,1,0.615,0,0,0,0,1,red,rosso,red,left,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,1,0.5946,0,1,1,2,1,green,verde,green,down,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.3247,0,2,2,3,1,green,verde,blue,right,0,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,0,0.5222,0,3,3,5,1,blue,blu,red,left,0,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,1,0.4924,0,4,4,1,1,red,rosso,green,down,0,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.669,0,5,5,4,1,blue,blu,blue,right,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.4076,1,0,6,5,1,blue,blu,red,left,0,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.3914,1,1,7,3,1,green,verde,blue,right,0,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.4453,1,2,8,0,1,red,rosso,red,left,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.6273,1,3,9,4,1,blue,blu,blue,right,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,1,0.6939,1,4,10,2,1,green,verde,green,down,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,0,0.59,1,5,11,1,1,red,rosso,green,down,0,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,1,0.3942,2,0,12,2,1,green,verde,green,down,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,0,0.5408,2,1,13,3,1,green,verde,blue,right,0,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,0,0.4522,2,2,14,1,1,red,rosso,green,down,0,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.8361,2,3,15,5,1,blue,blu,red,left,0,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.6004,2,4,16,4,1,blue,blu,blue,right,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.5682,2,5,17,0,1,red,rosso,red,left,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,green,verde,green,down,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,down,1,1.7531,0,0,0,2,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,green,verde,blue,right,0,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,right,1,0.9323,0,1,1,3,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,blue,blu,blue,right,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,right,1,1.2539,0,2,2,4,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,red,rosso,red,left,1,007,001,f,1,3,2021-11-19_09h44.00.053,stroop,2021.2.3,Win32,60.07810153,left,1,0.5999,0,3,3,0,1,,,,,,,,,,,,,,,,,,
