order,respPRA.keys,respPRA.corr,respPRA.rt,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_practice.ran,word,parola,letterColor,corrAns,congruent,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,OS,frameRate,respITA.keys,respITA.corr,respITA.rt,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_Ita.ran,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,loop_break.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,respENG.keys,respENG.corr,respENG.rt,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Eng.ran
ITA_ENG,left,0,1.0524,0,0,0,1,1,red,rosso,green,down,0,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,right,1,0.8434,0,1,1,3,1,green,verde,blue,right,0,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,down,0,0.354,0,2,2,5,1,blue,blu,red,left,0,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,right,1,0.5959,0,3,3,4,1,blue,blu,blue,right,1,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,left,1,0.3828,0,4,4,0,1,red,rosso,red,left,1,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,down,1,0.3772,0,5,5,2,1,green,verde,green,down,1,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,green,down,0,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,left,0,0.7779,0,0,0,1,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,red,left,1,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,left,1,0.6663,0,1,1,0,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,blue,right,0,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,right,1,0.5186,0,2,2,3,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,green,down,1,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,down,1,0.3196,0,3,3,2,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,red,left,0,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,left,1,1.4849,0,4,4,5,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,right,1,0.5329,0,5,5,4,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,red,left,1,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,left,1,0.6157,0,0,0,0,1
ITA_ENG,,,,,,,,,blue,blu,red,left,0,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,left,1,0.6851,0,1,1,5,1
ITA_ENG,,,,,,,,,green,verde,blue,right,0,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,right,1,0.4197,0,2,2,3,1
ITA_ENG,,,,,,,,,green,verde,green,down,1,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,down,1,0.2954,0,3,3,2,1
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,right,1,0.3745,0,4,4,4,1
ITA_ENG,,,,,,,,,red,rosso,green,down,0,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,,,,,,down,1,0.389,0,5,5,1,1
,,,,,,,,,,,,,,14,001,f,1,1,2021-11-19_09h43.43.627,stroop,2021.2.3,Win32,60.42661188,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,
